panel,algorithm,ordering,first_node,exact_pag_match,skeleton_jaccard,edges,ci_tests,elapsed_seconds,target_edge,temporal_flags
longitudinal,fci_plus,cyclic_shift_3,Free_Lunch,False,1.0,13,356,0.3504152920004344,K_Achievement <-o Grade3_Achievement,
longitudinal,fci_plus,cyclic_shift_4,School_Context,False,0.9230769230769231,12,322,0.29683270800069295,K_Achievement <-o Grade3_Achievement,
longitudinal,fci_plus,cyclic_shift_5,Entry_Age,False,0.9230769230769231,12,306,0.27902412500043283,K_Achievement <-o Grade3_Achievement,
longitudinal,fci_plus,cyclic_shift_6,Teacher_Experience,False,0.9230769230769231,12,303,0.278519917000267,K_Achievement <-- Grade3_Achievement,Grade3_Achievement --> K_Achievement
longitudinal,fci_plus,cyclic_shift_7,K_Achievement,True,1.0,13,324,0.31728595799995674,K_Achievement <-- Grade3_Achievement,Grade3_Achievement --> K_Achievement
longitudinal,fci_plus,cyclic_shift_8,Grade3_Achievement,True,1.0,13,339,0.3349212909997732,K_Achievement <-- Grade3_Achievement,Grade3_Achievement --> K_Achievement
longitudinal,fci_plus_robust,cyclic_shift_0,K_Class,True,1.0,12,619,0.5492700419999892,K_Achievement o-o Grade3_Achievement,
longitudinal,fci_plus_robust,cyclic_shift_1,Gender,True,1.0,12,619,0.5430797910003093,K_Achievement o-o Grade3_Achievement,
longitudinal,fci_plus_robust,cyclic_shift_2,Ethnicity,True,1.0,12,619,0.5462718750004569,K_Achievement o-o Grade3_Achievement,
longitudinal,fci_plus_robust,cyclic_shift_3,Free_Lunch,True,1.0,12,619,0.5394997079993118,K_Achievement o-o Grade3_Achievement,
longitudinal,fci_plus_robust,cyclic_shift_4,School_Context,True,1.0,12,619,0.5431900000003225,K_Achievement o-o Grade3_Achievement,
longitudinal,fci_plus_robust,cyclic_shift_5,Entry_Age,True,1.0,12,619,0.5383126249998895,K_Achievement o-o Grade3_Achievement,
longitudinal,fci_plus_robust,cyclic_shift_6,Teacher_Experience,True,1.0,12,619,0.5413014159994418,K_Achievement o-o Grade3_Achievement,
longitudinal,fci_plus_robust,cyclic_shift_7,K_Achievement,True,1.0,12,619,0.5418870829998923,K_Achievement o-o Grade3_Achievement,
longitudinal,fci_plus_robust,cyclic_shift_8,Grade3_Achievement,True,1.0,12,619,0.5465037500007384,K_Achievement o-o Grade3_Achievement,
focused_treatment,fci,cyclic_shift_0,K_Class,True,1.0,10,291,0.32957983300002525,K_Class <-> Grade3_Achievement,
focused_treatment,fci,cyclic_shift_1,Gender,True,1.0,10,288,0.32757158399999753,K_Class <-> Grade3_Achievement,
focused_treatment,fci,cyclic_shift_2,Ethnicity,True,1.0,10,292,0.3289113750006436,K_Class <-> Grade3_Achievement,
focused_treatment,fci,cyclic_shift_3,Free_Lunch,False,1.0,10,294,0.33537224999963655,K_Class <-> Grade3_Achievement,
focused_treatment,fci,cyclic_shift_4,School_Context,False,1.0,10,289,0.331068082999991,K_Class <-> Grade3_Achievement,
focused_treatment,fci,cyclic_shift_5,Entry_Age,True,1.0,10,292,0.33199975000025006,K_Class <-> Grade3_Achievement,
focused_treatment,fci,cyclic_shift_6,Teacher_Experience,True,1.0,10,296,0.33818733299995074,K_Class <-> Grade3_Achievement,
focused_treatment,fci,cyclic_shift_7,Grade3_Achievement,True,1.0,10,293,0.32830933300010656,K_Class <-> Grade3_Achievement,
focused_treatment,fci_plus,cyclic_shift_0,K_Class,True,1.0,10,185,0.16307845899973472,K_Class <-> Grade3_Achievement,
focused_treatment,fci_plus,cyclic_shift_1,Gender,True,1.0,10,182,0.1606394159998672,K_Class <-> Grade3_Achievement,
focused_treatment,fci_plus,cyclic_shift_2,Ethnicity,True,1.0,10,186,0.1611713749998671,K_Class <-> Grade3_Achievement,
